Показник,region,Категорія розрізу,activity,sex,Періодичність,year,enterprises_count
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Чоловіки,Річна,2025,1508
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,Річна,2025,952
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,Річна,2025,5803
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Освіта,Чоловіки,Річна,2025,392
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,Річна,2025,875
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,Річна,2025,3954
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,Річна,2025,463
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Жінки,Річна,2025,821
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Освіта,Жінки,Річна,2025,1958
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Фінансова та страхова діяльність,Жінки,Річна,2025,102
Кількість активних підприємств,Донецька,Вид економічної діяльності,Будівництво,Чоловіки,Річна,2025,178
Кількість активних підприємств,Донецька,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,Річна,2025,463
Кількість активних підприємств,Донецька,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Чоловіки,Річна,2025,37
Кількість активних підприємств,Донецька,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,Річна,2025,113
Кількість активних підприємств,Донецька,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,Річна,2025,21
Кількість активних підприємств,Донецька,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Жінки,Річна,2025,18
Кількість активних підприємств,Донецька,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,Річна,2025,2461
Кількість активних підприємств,Донецька,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Чоловіки,Річна,2025,144
Кількість активних підприємств,Донецька,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,Річна,2025,783
Кількість активних підприємств,Донецька,Вид економічної діяльності,Операції з нерухомим майном,Чоловіки,Річна,2025,370
Кількість активних підприємств,Донецька,Вид економічної діяльності,Фінансова та страхова діяльність,Чоловіки,Річна,2025,8
Кількість активних підприємств,Донецька,Вид економічної діяльності,Освіта,Чоловіки,Річна,2025,403
Кількість активних підприємств,Донецька,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Чоловіки,Річна,2025,704
Кількість активних підприємств,Донецька,Вид економічної діяльності,Інформація та телекомунікації,Чоловіки,Річна,2025,66
Кількість активних підприємств,Донецька,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Чоловіки,Річна,2025,12
Кількість активних підприємств,Донецька,Вид економічної діяльності,Переробна промисловість,Чоловіки,Річна,2025,224
Кількість активних підприємств,Донецька,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Чоловіки,Річна,2025,45
Кількість активних підприємств,Донецька,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,Річна,2025,386
Кількість активних підприємств,Донецька,Вид економічної діяльності,Переробна промисловість,Жінки,Річна,2025,62
Кількість активних підприємств,Донецька,Вид економічної діяльності,Інформація та телекомунікації,Жінки,Річна,2025,27
Кількість активних підприємств,Донецька,Вид економічної діяльності,Освіта,Жінки,Річна,2025,2174
Кількість активних підприємств,Донецька,Вид економічної діяльності,Діяльність домашніх господарств,Чоловіки,Річна,2025,1
Кількість активних підприємств,Донецька,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,Річна,2025,162
Кількість активних підприємств,Донецька,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,Річна,2025,5
Кількість активних підприємств,Донецька,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,Річна,2025,1234
Кількість активних підприємств,Донецька,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Жінки,Річна,2025,638
Кількість активних підприємств,Донецька,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Жінки,Річна,2025,16
Кількість активних підприємств,Донецька,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,Річна,2025,3692
Кількість активних підприємств,Донецька,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,Річна,2025,206
Кількість активних підприємств,Донецька,Вид економічної діяльності,Надання інших видів послуг,Чоловіки,Річна,2025,5526
Кількість активних підприємств,Донецька,Вид економічної діяльності,Надання інших видів послуг,Жінки,Річна,2025,3000
Кількість активних підприємств,Донецька,Вид економічної діяльності,Операції з нерухомим майном,Жінки,Річна,2025,349
Кількість активних підприємств,Донецька,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Жінки,Річна,2025,4
Кількість активних підприємств,Донецька,Вид економічної діяльності,Будівництво,Жінки,Річна,2025,37
Кількість активних підприємств,Донецька,Вид економічної діяльності,Діяльність домашніх господарств,Жінки,Річна,2025,1
Кількість активних підприємств,Донецька,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,Річна,2025,40
Кількість активних підприємств,Донецька,Вид економічної діяльності,Фінансова та страхова діяльність,Жінки,Річна,2025,8
Кількість активних підприємств,Донецька,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Жінки,Річна,2025,111
Кількість активних підприємств,Донецька,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Жінки,Річна,2025,140
Кількість активних підприємств,Донецька,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Жінки,Річна,2025,323
Кількість активних підприємств,Житомирська,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,Річна,2025,703
Кількість активних підприємств,Житомирська,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Жінки,Річна,2025,26
Кількість активних підприємств,Житомирська,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,Річна,2025,79
Кількість активних підприємств,Житомирська,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Жінки,Річна,2025,116
Кількість активних підприємств,Житомирська,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Жінки,Річна,2025,51
